MaSo,MaTinhThanh,Ten,DonVi,EnglishName
404,38,Nông Cống,Huyện,NongCong
405,38,Đông Sơn,Huyện,DongSon
406,38,Quảng Xương,Huyện,QuangXuong
407,38,Nghi Sơn,Thị xã,NghiSon
412,40,Vinh,Thành phố,Vinh
413,40,Cửa Lò,Thị xã,CuaLo
414,40,Thái Hoà,Thị xã,ThaiHoa
415,40,Quế Phong,Huyện,QuePhong
416,40,Quỳ Châu,Huyện,QuyChau
417,40,Kỳ Sơn,Huyện,KySon
418,40,Tương Dương,Huyện,TuongDuong
419,40,Nghĩa Đàn,Huyện,NghiaDan
420,40,Quỳ Hợp,Huyện,QuyHop
421,40,Quỳnh Lưu,Huyện,QuynhLuu
422,40,Con Cuông,Huyện,ConCuong
423,40,Tân Kỳ,Huyện,TanKy
424,40,Anh Sơn,Huyện,AnhSon
425,40,Diễn Châu,Huyện,DienChau
426,40,Yên Thành,Huyện,YenThanh
427,40,Đô Lương,Huyện,DoLuong
428,40,Thanh Chương,Huyện,ThanhChuong
429,40,Nghi Lộc,Huyện,NghiLoc
430,40,Nam Đàn,Huyện,NamDan
431,40,Hưng Nguyên,Huyện,HungNguyen
432,40,Hoàng Mai,Thị xã,HoangMai
436,42,Hà Tĩnh,Thành phố,HaTinh
437,42,Hồng Lĩnh,Thị xã,HongLinh
439,42,Hương Sơn,Huyện,HuongSon
440,42,Đức Thọ,Huyện,DucTho
441,42,Vũ Quang,Huyện,VuQuang
442,42,Nghi Xuân,Huyện,NghiXuan
443,42,Can Lộc,Huyện,CanLoc
444,42,Hương Khê,Huyện,HuongKhe
445,42,Thạch Hà,Huyện,ThachHa
446,42,Cẩm Xuyên,Huyện,CamXuyen
447,42,Kỳ Anh,Huyện,KyAnh
448,42,Lộc Hà,Huyện,LocHa
449,42,Kỳ Anh,Thị xã,KyAnh
450,44,Đồng Hới,Thành phố,DongHoi
452,44,Minh Hóa,Huyện,MinhHoa
453,44,Tuyên Hóa,Huyện,TuyenHoa
454,44,Quảng Trạch,Huyện,QuangTrach
455,44,Bố Trạch,Huyện,BoTrach
456,44,Quảng Ninh,Huyện,QuangNinh
457,44,Lệ Thủy,Huyện,LeThuy
458,44,Ba Đồn,Thị xã,BaDon
461,45,Đông Hà,Thành phố,DongHa
462,45,Quảng Trị,Thị xã,QuangTri
464,45,Vĩnh Linh,Huyện,VinhLinh
465,45,Hướng Hóa,Huyện,HuongHoa
466,45,Gio Linh,Huyện,GioLinh
467,45,Đa Krông,Huyện,DaKrong
468,45,Cam Lộ,Huyện,CamLo
469,45,Triệu Phong,Huyện,TrieuPhong
470,45,Hải Lăng,Huyện,HaiLang
471,45,Cồn Cỏ,Huyện,ConCo
474,46,Huế,Thành phố,Hue
476,46,Phong Điền,Huyện,PhongDien
477,46,Quảng Điền,Huyện,QuangDien
478,46,Phú Vang,Huyện,PhuVang
479,46,Hương Thủy,Thị xã,HuongThuy
480,46,Hương Trà,Thị xã,HuongTra
481,46,A Lưới,Huyện,ALuoi
482,46,Phú Lộc,Huyện,PhuLoc
483,46,Nam Đông,Huyện,NamDong
490,48,Liên Chiểu,Quận,LienChieu
491,48,Thanh Khê,Quận,ThanhKhe
492,48,Hải Châu,Quận,HaiChau
493,48,Sơn Trà,Quận,SonTra
494,48,Ngũ Hành Sơn,Quận,NguHanhSon
495,48,Cẩm Lệ,Quận,CamLe
497,48,Hòa Vang,Huyện,HoaVang
498,48,Hoàng Sa,Huyện,HoangSa
502,49,Tam Kỳ,Thành phố,TamKy
503,49,Hội An,Thành phố,HoiAn
504,49,Tây Giang,Huyện,TayGiang
505,49,Đông Giang,Huyện,DongGiang
506,49,Đại Lộc,Huyện,DaiLoc
507,49,Điện Bàn,Thị xã,DienBan
508,49,Duy Xuyên,Huyện,DuyXuyen
509,49,Quế Sơn,Huyện,QueSon
510,49,Nam Giang,Huyện,NamGiang
511,49,Phước Sơn,Huyện,PhuocSon
512,49,Hiệp Đức,Huyện,HiepDuc
513,49,Thăng Bình,Huyện,ThangBinh
514,49,Tiên Phước,Huyện,TienPhuoc
515,49,Bắc Trà My,Huyện,BacTraMy
516,49,Nam Trà My,Huyện,NamTraMy
517,49,Núi Thành,Huyện,NuiThanh
518,49,Phú Ninh,Huyện,PhuNinh
519,49,Nông Sơn,Huyện,NongSon
522,51,Quảng Ngãi,Thành phố,QuangNgai
524,51,Bình Sơn,Huyện,BinhSon
525,51,Trà Bồng,Huyện,TraBong
527,51,Sơn Tịnh,Huyện,SonTinh
528,51,Tư Nghĩa,Huyện,TuNghia
529,51,Sơn Hà,Huyện,SonHa
530,51,Sơn Tây,Huyện,SonTay
531,51,Minh Long,Huyện,MinhLong
532,51,Nghĩa Hành,Huyện,NghiaHanh
533,51,Mộ Đức,Huyện,MoDuc
534,51,Đức Phổ,Thị xã,DucPho
535,51,Ba Tơ,Huyện,BaTo
536,51,Lý Sơn,Huyện,LySon
540,52,Quy Nhơn,Thành phố,QuyNhon
542,52,An Lão,Huyện,AnLao
543,52,Hoài Nhơn,Thị xã,HoaiNhon
544,52,Hoài Ân,Huyện,HoaiAn
545,52,Phù Mỹ,Huyện,PhuMy
546,52,Vĩnh Thạnh,Huyện,VinhThanh
547,52,Tây Sơn,Huyện,TaySon
548,52,Phù Cát,Huyện,PhuCat
549,52,An Nhơn,Thị xã,AnNhon
550,52,Tuy Phước,Huyện,TuyPhuoc
551,52,Vân Canh,Huyện,VanCanh
555,54,Tuy Hoà,Thành phố,TuyHoa
557,54,Sông Cầu,Thị xã,SongCau
558,54,Đồng Xuân,Huyện,DongXuan
559,54,Tuy An,Huyện,TuyAn
560,54,Sơn Hòa,Huyện,SonHoa
561,54,Sông Hinh,Huyện,SongHinh
562,54,Tây Hoà,Huyện,TayHoa
563,54,Phú Hoà,Huyện,PhuHoa
564,54,Đông Hòa,Thị xã,DongHoa
568,56,Nha Trang,Thành phố,NhaTrang
569,56,Cam Ranh,Thành phố,CamRanh
570,56,Cam Lâm,Huyện,CamLam
571,56,Vạn Ninh,Huyện,VanNinh
572,56,Ninh Hòa,Thị xã,NinhHoa
573,56,Khánh Vĩnh,Huyện,KhanhVinh
574,56,Diên Khánh,Huyện,DienKhanh
575,56,Khánh Sơn,Huyện,KhanhSon
576,56,Trường Sa,Huyện,TruongSa
582,58,Phan Rang-Tháp Chàm,Thành phố,PhanRang-ThapCham
584,58,Bác Ái,Huyện,BacAi
585,58,Ninh Sơn,Huyện,NinhSon
586,58,Ninh Hải,Huyện,NinhHai
587,58,Ninh Phước,Huyện,NinhPhuoc
588,58,Thuận Bắc,Huyện,ThuanBac
589,58,Thuận Nam,Huyện,ThuanNam
593,60,Phan Thiết,Thành phố,PhanThiet
594,60,La Gi,Thị xã,LaGi
595,60,Tuy Phong,Huyện,TuyPhong
596,60,Bắc Bình,Huyện,BacBinh
597,60,Hàm Thuận Bắc,Huyện,HamThuanBac
598,60,Hàm Thuận Nam,Huyện,HamThuanNam
599,60,Tánh Linh,Huyện,TanhLinh
600,60,Đức Linh,Huyện,DucLinh
601,60,Hàm Tân,Huyện,HamTan
602,60,Phú Quí,Huyện,PhuQui
608,62,Kon Tum,Thành phố,KonTum
610,62,Đắk Glei,Huyện,DakGlei
611,62,Ngọc Hồi,Huyện,NgocHoi
612,62,Đắk Tô,Huyện,DakTo
613,62,Kon Plông,Huyện,KonPlong
614,62,Kon Rẫy,Huyện,KonRay
615,62,Đắk Hà,Huyện,DakHa
616,62,Sa Thầy,Huyện,SaThay
617,62,Tu Mơ Rông,Huyện,TuMoRong
618,62,Ia H Drai ,Huyện,IaHDrai
622,64,Pleiku,Thành phố,Pleiku
623,64,An Khê,Thị xã,AnKhe
624,64,Ayun Pa,Thị xã,AyunPa
625,64,KBang,Huyện,KBang
626,64,Đăk Đoa,Huyện,DakDoa
627,64,Chư Păh,Huyện,ChuPah
628,64,Ia Grai,Huyện,IaGrai
629,64,Mang Yang,Huyện,MangYang
630,64,Kông Chro,Huyện,KongChro
631,64,Đức Cơ,Huyện,DucCo
632,64,Chư Prông,Huyện,ChuProng
633,64,Chư Sê,Huyện,ChuSe
634,64,Đăk Pơ,Huyện,DakPo
635,64,Ia Pa,Huyện,IaPa
637,64,Krông Pa,Huyện,KrongPa
638,64,Phú Thiện,Huyện,PhuThien
639,64,Chư Pưh,Huyện,ChuPuh
643,66,Buôn Ma Thuột,Thành phố,BuonMaThuot
644,66,Buôn Hồ,Thị xã,BuonHo
645,66,Ea H leo ,Huyện,EaHleo
646,66,Ea Súp,Huyện,EaSup
647,66,Buôn Đôn,Huyện,BuonDon
648,66,Cư M gar ,Huyện,CuMgar
649,66,Krông Búk,Huyện,KrongBuk
650,66,Krông Năng,Huyện,KrongNang
651,66,Ea Kar,Huyện,EaKar
652,66,M Đrắk ,Huyện,MDrak
653,66,Krông Bông,Huyện,KrongBong
654,66,Krông Pắc,Huyện,KrongPac
655,66,Krông A Na,Huyện,KrongANa
656,66,Lắk,Huyện,Lak
657,66,Cư Kuin,Huyện,CuKuin
660,67,Gia Nghĩa,Thành phố,GiaNghia
661,67,Đăk Glong,Huyện,DakGlong
662,67,Cư Jút,Huyện,CuJut
663,67,Đắk Mil,Huyện,DakMil
